accident_no,surface_cond_desc
T20060002637,Wet
T20060002640,Dry
T20060002642,Wet
T20060002648,Dry
T20060002652,Dry
T20060002655,Dry
T20060002657,Dry
T20060002659,Dry
T20060002665,Dry
T20060002666,Dry
T20060002670,Dry
T20060002671,Dry
T20060002672,Dry
T20060002673,Dry
T20060002674,Dry
T20060002675,Dry
T20060002676,Dry
T20060002677,Dry
T20060002678,Dry
T20060002681,Dry
T20060002683,Dry
T20060002685,Dry
T20060002688,Dry
T20060002689,Dry
T20060002690,Dry
T20060002693,Wet
T20060002698,Dry
T20060002701,Dry
T20060002702,Dry
T20060002710,Dry
T20060002711,Dry
T20060002714,Dry
T20060002715,Dry
T20060002727,Dry
T20060002728,Dry
T20060002733,Dry
T20060002734,Dry
T20060002738,Dry
T20060002747,Dry
T20060002752,Dry
T20060002753,Unknown
T20060002762,Dry
T20060002764,Dry
T20060002768,Dry
T20060002769,Dry
T20060002770,Dry
T20060002772,Dry
T20060002775,Dry
T20060002777,Dry
T20060002783,Dry
T20060002787,Dry
T20060002788,Dry
T20060002789,Dry
T20060002791,Dry
T20060002794,Dry
T20060002796,Dry
T20060002805,Dry
T20060002806,Dry
T20060002808,Dry
T20060002810,Dry
T20060002812,Dry
T20060002817,Dry
T20060002819,Dry
T20060002820,Dry
T20060002821,Dry
T20060002822,Dry
T20060002827,Dry
T20060002828,Dry
T20060002829,Dry
T20060002836,Dry
T20060002837,Dry
T20060002838,Dry
T20060002843,Dry
T20060002847,Dry
T20060002848,Dry
T20060002857,Dry
T20060002861,Dry
T20060002873,Dry
T20060002875,Dry
T20060002877,Dry
T20060002879,Dry
T20060002884,Dry
T20060002888,Dry
T20060002889,Dry
T20060002891,Dry
T20060002897,Wet
T20060002898,Wet
T20060002904,Dry
T20060002905,Dry
T20060002909,Dry
T20060002912,Dry
T20060002914,Dry
T20060002915,Wet
T20060002916,Dry
T20060002923,Dry
T20060002923,Wet
T20060002924,Dry
T20060002925,Dry
T20060002928,Dry
T20060002931,Dry
T20060002935,Dry
T20060002943,Dry
T20060002956,Dry
T20060002957,Dry
T20060002963,Dry
T20060002974,Dry
T20060002975,Dry
T20060002978,Dry
T20060002981,Dry
T20060002983,Dry
T20060002984,Wet
T20060002985,Dry
T20060002987,Dry
T20060002990,Dry
T20060002992,Dry
T20060002993,Dry
T20060002998,Dry
T20060003000,Dry
T20060003001,Dry
T20060003002,Dry
T20060003004,Dry
T20060003005,Dry
T20060003008,Dry
T20060003011,Dry
T20060003013,Dry
T20060003016,Dry
T20060003024,Dry
T20060003025,Dry
T20060003026,Dry
T20060003028,Dry
T20060003032,Dry
T20060003034,Dry
T20060003035,Dry
T20060003038,Dry
T20060003040,Dry
T20060003051,Dry
T20060003053,Dry
T20060003061,Dry
T20060003062,Dry
T20060003063,Dry
T20060003067,Dry
T20060003068,Dry
T20060003073,Dry
T20060003074,Dry
T20060003076,Dry
T20060003078,Unknown
T20060003087,Dry
T20060003093,Dry
T20060003094,Dry
T20060003100,Dry
T20060003102,Dry
T20060003109,Dry
T20060003113,Dry
T20060003114,Dry
T20060003115,Dry
T20060003118,Dry
T20060003127,Dry
T20060003129,Dry
T20060003131,Dry
T20060003132,Dry
T20060003134,Dry
T20060003135,Dry
T20060003136,Dry
T20060003137,Dry
T20060003139,Dry
T20060003140,Dry
T20060003141,Dry
T20060003143,Dry
T20060003144,Dry
