accident_no,atmosph_cond_desc
T20060002448,Clear
T20060002451,Clear
T20060002453,Clear
T20060002455,Clear
T20060002456,Clear
T20060002459,Clear
T20060002462,Clear
T20060002469,Clear
T20060002489,Raining
T20060002493,Clear
T20060002494,Clear
T20060002500,Clear
T20060002501,Clear
T20060002504,Clear
T20060002507,Raining
T20060002507,Strong winds
T20060002512,Clear
T20060002514,Clear
T20060002518,Raining
T20060002521,Raining
T20060002526,Raining
T20060002536,Clear
T20060002544,Clear
T20060002546,Clear
T20060002548,Clear
T20060002550,Clear
T20060002557,Clear
T20060002559,Clear
T20060002565,Clear
T20060002569,Clear
T20060002570,Clear
T20060002588,Clear
T20060002592,Clear
T20060002595,Clear
T20060002599,Clear
T20060002602,Clear
T20060002605,Raining
T20060002606,Clear
T20060002608,Clear
T20060002609,Clear
T20060002611,Clear
T20060002612,Clear
T20060002615,Clear
T20060002615,Strong winds
T20060002616,Not known
T20060002618,Clear
T20060002620,Clear
T20060002623,Clear
T20060002626,Clear
T20060002632,Clear
T20060002634,Clear
T20060002636,Clear
T20060002637,Raining
T20060002640,Clear
T20060002642,Raining
T20060002648,Clear
T20060002652,Clear
T20060002655,Clear
T20060002657,Clear
T20060002659,Clear
T20060002665,Clear
T20060002666,Clear
T20060002670,Clear
T20060002671,Clear
T20060002672,Clear
T20060002673,Clear
T20060002674,Clear
T20060002674,Strong winds
T20060002675,Clear
T20060002676,Clear
T20060002677,Clear
T20060002678,Clear
T20060002681,Clear
T20060002683,Clear
T20060002685,Clear
T20060002688,Clear
T20060002689,Clear
T20060002690,Clear
T20060002693,Raining
T20060002698,Clear
T20060002701,Clear
T20060002702,Clear
T20060002710,Clear
T20060002711,Clear
T20060002714,Clear
T20060002715,Clear
T20060002727,Clear
T20060002728,Clear
T20060002733,Clear
T20060002734,Clear
T20060002738,Clear
T20060002747,Clear
T20060002752,Clear
T20060002753,Not known
T20060002762,Clear
T20060002764,Clear
T20060002768,Clear
T20060002769,Clear
T20060002770,Clear
T20060002772,Clear
T20060002775,Clear
T20060002777,Clear
T20060002783,Clear
T20060002787,Clear
T20060002788,Clear
T20060002789,Clear
T20060002791,Clear
T20060002794,Clear
T20060002796,Clear
T20060002805,Clear
T20060002806,Clear
T20060002808,Clear
T20060002810,Clear
T20060002812,Clear
T20060002817,Clear
T20060002819,Clear
T20060002820,Clear
T20060002821,Clear
T20060002822,Clear
T20060002827,Clear
T20060002828,Clear
T20060002829,Clear
T20060002836,Clear
T20060002837,Clear
T20060002838,Clear
T20060002843,Clear
T20060002847,Clear
T20060002848,Clear
T20060002857,Clear
T20060002861,Clear
T20060002873,Clear
T20060002875,Clear
T20060002877,Clear
T20060002879,Clear
T20060002884,Clear
T20060002888,Clear
T20060002889,Clear
T20060002891,Clear
T20060002897,Raining
T20060002898,Raining
T20060002904,Clear
T20060002905,Clear
T20060002909,Clear
T20060002912,Clear
T20060002914,Clear
T20060002915,Raining
T20060002916,Clear
T20060002923,Clear
T20060002924,Clear
T20060002925,Clear
T20060002928,Clear
T20060002931,Clear
T20060002935,Clear
T20060002943,Clear
T20060002956,Clear
T20060002957,Clear
T20060002963,Clear
T20060002974,Clear
T20060002975,Clear
T20060002978,Clear
T20060002981,Clear
T20060002983,Clear
T20060002984,Raining
T20060002985,Clear
T20060002987,Clear
T20060002990,Clear
T20060002992,Clear
T20060002993,Clear
T20060002998,Clear
T20060003000,Clear
T20060003001,Clear
T20060003002,Clear
T20060003004,Clear
T20060003005,Clear
T20060003008,Clear
T20060003011,Clear
T20060003013,Clear
T20060003016,Clear
T20060003024,Clear
T20060003025,Clear
T20060003026,Clear
T20060003028,Clear
T20060003032,Clear
T20060003034,Clear
T20060003035,Clear
T20060003038,Clear
T20060003040,Clear
T20060003051,Clear
T20060003053,Clear
T20060003061,Clear
T20060003062,Clear
T20060003063,Clear
T20060003067,Clear
T20060003068,Clear
T20060003073,Clear
T20060003074,Clear
T20060003076,Clear
T20060003078,Clear
T20060003087,Clear
T20060003093,Clear
T20060003094,Clear
T20060003100,Clear
T20060003102,Clear
T20060003109,Clear
T20060003113,Clear
T20060003114,Clear
T20060003115,Clear
T20060003118,Clear
T20060003127,Clear
T20060003129,Clear
T20060003131,Clear
T20060003132,Clear
T20060003134,Clear
T20060003135,Clear
T20060003136,Clear
T20060003137,Clear
T20060003139,Clear
T20060003140,Clear
T20060003141,Clear
T20060003143,Clear
T20060003144,Clear
T20060003145,Clear
T20060003146,Clear
T20060003147,Clear
T20060003149,Clear
T20060003152,Clear
T20060003153,Clear
T20060003155,Clear
T20060003156,Clear
T20060003158,Clear
T20060003160,Clear
T20060003162,Clear
T20060003163,Clear
T20060003166,Clear
T20060003168,Clear
T20060003169,Clear
T20060003170,Clear
T20060003171,Clear
T20060003172,Not known
T20060003173,Clear
T20060003175,Clear
T20060003176,Clear
T20060003180,Clear
T20060003184,Dust
T20060003184,Strong winds
T20060003186,Clear
T20060003187,Clear
T20060003188,Clear
T20060003190,Clear
T20060003193,Clear
T20060003195,Raining
T20060003195,Dust
T20060003195,Strong winds
T20060003196,Clear
T20060003198,Clear
T20060003200,Clear
T20060003202,Clear
T20060003205,Clear
T20060003206,Clear
T20060003208,Clear
T20060003209,Clear
T20060003210,Clear
T20060003211,Clear
T20060003212,Clear
T20060003214,Clear
T20060003215,Clear
T20060003216,Clear
T20060003217,Clear
T20060003218,Clear
T20060003220,Clear
T20060003221,Clear
T20060003225,Clear
T20060003227,Clear
T20060003228,Clear
T20060003229,Clear
T20060003231,Clear
T20060003233,Clear
T20060003236,Clear
T20060003237,Clear
T20060003240,Clear
T20060003241,Clear
T20060003250,Clear
T20060003252,Clear
T20060003259,Clear
T20060003260,Clear
T20060003261,Clear
T20060003265,Not known
T20060003268,Clear
T20060003269,Clear
T20060003271,Clear
T20060003276,Clear
T20060003278,Clear
T20060003279,Clear
T20060003280,Clear
T20060003281,Clear
T20060003284,Clear
T20060003285,Clear
T20060003288,Clear
T20060003291,Clear
T20060003294,Clear
T20060003295,Clear
T20060003301,Dust
T20060003301,Strong winds
T20060003306,Raining
T20060003307,Clear
T20060003308,Clear
T20060003309,Clear
T20060003312,Clear
T20060003314,Clear
T20060003318,Clear
T20060003319,Clear
T20060003325,Clear
T20060003326,Clear
T20060003329,Clear
T20060003332,Raining
T20060003334,Clear
T20060003339,Clear
T20060003344,Raining
T20060003345,Clear
T20060003346,Clear
T20060003349,Clear
T20060003354,Clear
T20060003354,Strong winds
T20060003355,Clear
T20060003361,Raining
T20060003371,Clear
T20060003378,Clear
T20060003383,Clear
T20060003384,Clear
T20060003386,Clear
T20060003388,Clear
T20060003393,Clear
T20060003394,Clear
T20060003398,Clear
T20060003400,Clear
T20060003406,Clear
T20060003407,Clear
T20060003411,Clear
T20060003414,Clear
T20060003416,Clear
T20060003421,Clear
T20060003422,Clear
T20060003426,Clear
T20060003429,Clear
T20060003432,Clear
T20060003433,Clear
T20060003438,Clear
T20060003441,Clear
T20060003443,Clear
T20060003450,Clear
T20060003453,Clear
T20060003464,Clear
T20060003469,Clear
T20060003472,Clear
T20060003482,Clear
T20060003489,Clear
T20060003491,Clear
T20060003492,Clear
T20060003496,Clear
T20060003498,Clear
T20060003504,Clear
T20060003508,Clear
T20060003509,Clear
T20060003511,Clear
T20060003520,Clear
T20060003525,Raining
T20060003526,Clear
T20060003529,Clear
T20060003531,Clear
T20060003532,Clear
T20060003537,Clear
T20060003540,Not known
T20060003541,Clear
